"Name";"Age";"Date Of Birth";"Unique ID"
"Quim";"38";"13.11.1975";"1855"
"Gallas, William";"36";"17.08.1977";"2265"
"Simons, Timmy";"37";"11.12.1976";"3339"
"Toni, Luca";"37";"26.05.1977";"4003"
"Materazzi, Marco";"40";"19.08.1973";"6073"
"Del Piero, Alessandro";"39";"09.11.1974";"8074"
"Cudicini, Carlo";"40";"06.09.1973";"8448"
"Roberto";"35";"25.01.1979";"9519"
"Aranzubia, Dani";"34";"18.09.1979";"9523"
"Capdevila, Joan";"36";"03.02.1978";"9530"
"Henry, Thierry";"36";"17.08.1977";"9888"
"Trezeguet, David";"36";"15.10.1977";"9893"
"Buffon, Gianluigi";"36";"28.01.1978";"11133"
"Storari, Marco";"36";"07.11.1977";"11252"
"De Sanctis, Morgan";"37";"26.03.1977";"11265"
"Silvestre, Mika?l";"36";"09.08.1977";"12114"
"Totti, Francesco";"37";"27.09.1976";"12230"
"Andrews, Keith";"33";"13.09.1980";"103353"
"Dunn, David";"34";"27.12.1979";"103358"
"Green, Ryan";"33";"20.10.1980";"103408"
"Naylor, Lee";"34";"19.03.1980";"103420"
"Parker, Scott";"33";"13.10.1980";"103424"
"Smith, Tommy";"34";"22.05.1980";"103432"
"Harewood, Marlon";"34";"25.08.1979";"103447"
"J??skel?inen, Jussi";"39";"19.04.1975";"103453"
"Koumas, Jason";"34";"25.09.1979";"103457"
"Russell, Darel";"33";"22.10.1980";"103461"
"Doherty, Tommy";"35";"17.03.1979";"103469"
"Holden, Dean";"34";"15.09.1979";"103474"
"Nurse, Jon";"33";"28.03.1981";"103531"
"Mousinho, John";"28";"30.04.1986";"103584"
"Henry, James";"25";"10.06.1989";"103607"
"Legzdins, Adam";"27";"23.11.1986";"103737"
"Jones, Daniel";"27";"14.07.1986";"103768"
"Loft, Doug";"27";"25.12.1986";"104059"
"Cole, Joe";"32";"08.11.1981";"104062"
"Pletikosa, Stipe";"35";"08.01.1979";"104072"
"Hill, Clint";"35";"19.10.1978";"104132"
"Regan, Carl";"33";"09.09.1980";"104144"
"Z¨¦ Roberto";"40";"06.07.1974";"104342"
"Eto'o, Samuel";"33";"10.03.1981";"105788"
"Goodison, Ian";"41";"21.11.1972";"106006"
"Robinson, Paul";"35";"14.12.1978";"106585"
"Coppinger, James";"33";"10.01.1981";"106587"
"Woodgate, Jonathan";"34";"22.01.1980";"106708"
"Jeffers, Francis";"33";"25.01.1981";"106727"
"Osman, Leon";"33";"17.05.1981";"106728"
"Quinn, Barry";"35";"09.05.1979";"107146"
"Doherty, Gary";"34";"31.01.1980";"107147"
"Whitley, Jeff";"35";"28.01.1979";"107149"
"Bulman, Dannie";"35";"24.01.1979";"107527"
"Frampton, Andy";"34";"03.09.1979";"107538"
"Green, Robert";"34";"19.01.1980";"107539"
"Kirkland, Chris";"33";"02.05.1981";"107544"
"Konchesky, Paul";"33";"15.05.1981";"107545"
"McCartney, George";"33";"29.04.1981";"107547"
"Reid, Steven";"33";"10.03.1981";"107553"
"Hessey, Sean";"35";"19.09.1978";"108176"
"Wilbraham, Aaron";"34";"21.10.1979";"108220"
"Hayter, James";"35";"09.04.1979";"108241"
"Butterfield, Danny";"34";"21.11.1979";"108263"
"Boyce, Emmerson";"34";"24.09.1979";"108265"
"Cahill, Tim";"34";"06.12.1979";"108267"
"Johnson, Leon";"33";"10.05.1981";"108285"
"McCammon, Mark";"35";"07.08.1978";"108302"
"Miller, Tommy";"35";"08.01.1979";"108314"
"Gill, Matt";"33";"08.11.1980";"108328"
"Jones, Gary";"37";"03.06.1977";"108333"
"Sedgwick, Chris";"34";"28.04.1980";"108335"
"Samuel, Walter";"36";"22.03.1978";"108414"
"Bizzarri, Albano";"36";"09.11.1977";"108425"
"Hughes, Richard";"35";"25.06.1979";"108583"
"Barry, Gareth";"33";"23.02.1981";"108586"
"Taylor, Martin";"34";"09.11.1979";"108611"
"Terry, John";"33";"07.12.1980";"108625"
"Elliott, Steve";"35";"29.10.1978";"108628"
"Robinson, Paul";"34";"15.10.1979";"108640"
"Smith, Alan";"33";"28.10.1980";"108642"
"Gerrard, Steven";"34";"30.05.1980";"108658"
"Newby, Jon";"35";"28.11.1978";"108660"
"Young, Luke";"34";"19.07.1979";"108689"
"Marriott, Alan";"35";"03.09.1978";"108690"
"Crainey, Stephen";"33";"22.06.1981";"108722"
"Rowlands, Martin";"35";"08.02.1979";"109139"
"Thirlwell, Paul";"35";"13.02.1979";"109169"
"Flahavan, Darryl";"36";"09.09.1977";"109236"
"Bywater, Stephen";"33";"07.06.1981";"110144"
"Edwards, Mike";"34";"25.04.1980";"110841"
"Etherington, Matthew";"32";"14.08.1981";"110904"
"Hassell, Bobby";"34";"04.06.1980";"111533"
"Parrish, Andy";"26";"22.06.1988";"113521"
"Hibbert, Tony";"33";"20.02.1981";"115448"
"Southern, Keith";"33";"24.04.1981";"115450"
"Tiago";"33";"02.05.1981";"115504"
"S?rensen, Thomas";"38";"12.06.1976";"115604"
"Fotheringham, Mark";"30";"22.10.1983";"115654"
"Otsemobor, Jon";"31";"23.03.1983";"115656"
"Knight, Zat";"34";"02.05.1980";"115850"
"S¨¢nchez, Oswaldo";"40";"21.09.1973";"116671"
"Ingham, Michael";"33";"09.07.1980";"116778"
"Torrado, Gerardo";"35";"30.04.1979";"116917"
"P¨¦rez, Luis Ernesto";"33";"12.01.1981";"116921"
"Mutu, Adrian";"35";"08.01.1979";"116954"
"Ra?, R?zvan";"33";"26.05.1981";"116964"
"Pizarro, David";"34";"11.09.1979";"120098"
"Diouf, El-Hadji";"33";"15.01.1981";"120099"
"Lobon?, Bogdan";"36";"18.01.1978";"120515"
"Chambers, Adam";"33";"20.11.1980";"120536"
"Chambers, James";"33";"20.11.1980";"120537"
"Santa Cruz, Roque";"32";"16.08.1981";"120550"
"Roche, Barry";"32";"06.04.1982";"120562"
"Prutton, David";"32";"12.09.1981";"120563"
"Donovan, Landon";"32";"04.03.1982";"120637"
"M¨¢rquez, Rafael";"35";"13.02.1979";"120929"
"Yepes, Mario";"38";"13.01.1976";"120931"
"McAuley, Gareth";"34";"05.12.1979";"121047"
"Caldwell, Gary";"32";"12.04.1982";"121982"
"Carrick, Michael";"32";"28.07.1981";"122025"
"Clarke, Peter";"32";"03.01.1982";"122112"
"Dunbavin, Ian";"34";"27.05.1980";"122600"
"Evatt, Ian";"32";"19.11.1981";"122718"
"Gray, Julian";"34";"21.09.1979";"123134"
"Hill, Matt";"33";"26.03.1981";"123407"
"Fagan, Craig";"31";"11.12.1982";"123544"
"Jones, Brad";"32";"19.03.1982";"123711"
"Lockwood, Adam";"32";"26.10.1981";"124102"
"MacDonald, Charlie";"33";"13.02.1981";"124198"
"McNamee, David";"33";"10.10.1980";"124703"
"Murray, Fred";"32";"22.05.1982";"124942"
"O'Shea, John";"33";"30.04.1981";"125120"
"Parkin, Jon";"32";"30.12.1981";"125188"
"Parkin, Sam";"33";"14.03.1981";"125190"
"Stewart, Gareth";"34";"03.02.1980";"126023"
"Corluka, Vedran";"28";"31.03.1986";"126527"
"Warnock, Stephen";"32";"12.12.1981";"126899"
"Berbatov, Dimitar";"33";"30.01.1981";"127825"
"Leonardo Moura";"35";"23.10.1978";"127913"
"Defoe, Jermain";"31";"07.10.1982";"127925"
"Varney, Luke";"31";"28.09.1982";"127930"
"Cook, Lee";"31";"03.08.1982";"127933"
"Shittu, Danny";"33";"02.09.1980";"127940"
"Pavlyuchenko, Roman";"32";"15.12.1981";"127946"
"Fletcher, Darren";"30";"01.02.1984";"127973"
"Elliott, Wade";"35";"14.12.1978";"127981"
"Omozusi, Elliot";"25";"15.12.1988";"127984"
"Rosicky, Tomas";"33";"04.10.1980";"130701"
"Howell, Dean";"33";"29.11.1980";"130969"
"Pienaar, Steven";"32";"17.03.1982";"131397"
"Jarosik, Jiri";"36";"27.10.1977";"132887"
"Taylor-Fletcher, Gary";"33";"04.06.1981";"134115"
"Hammond, Elvis";"33";"06.10.1980";"134130"
"Hudson, Mark";"32";"30.03.1982";"134132"
"O'Neil, Gary";"31";"18.05.1983";"134133"
"Lonergan, Andy";"30";"19.10.1983";"134134"
"Sparrow, Matt";"32";"03.10.1981";"134400"
"Ivanschitz, Andreas";"30";"15.10.1983";"134539"
"Toner, Ciaran";"33";"30.06.1981";"134677"
"Willock, Calum";"32";"29.10.1981";"134747"
"Vaughan, David";"31";"18.02.1983";"134968"
"Turner, Michael";"30";"09.11.1983";"135160"
"Akinfenwa, Adebayo";"32";"10.05.1982";"139016"
"R?doi, Mirel";"33";"22.03.1981";"140167"
"Boucaud, Andr¨¦";"29";"10.10.1984";"141891"
"Hoolahan, Wes";"32";"20.05.1982";"141922"
"Ibrahimovic, Zlatan";"32";"03.10.1981";"142173"
"Robson, Matty";"29";"23.01.1985";"142245"
"Westcarr, Craig";"29";"29.01.1985";"142311"
"Cana, Lorik";"30";"27.07.1983";"142338"
"Carlos Alberto";"29";"11.12.1984";"142363"
"van Persie, Robin";"30";"06.08.1983";"142525"
"Spiller, Danny";"32";"10.10.1981";"142530"
"Dawson, Michael";"30";"18.11.1983";"142537"
"Adebayor, Emmanuel";"30";"26.02.1984";"143898"
"Djeparov, Server";"31";"03.10.1982";"144275"
"Gorkss, Kaspars";"32";"06.11.1981";"145253"
"Potter, Alfie";"25";"09.01.1989";"146837"
"Quinn, Paul";"28";"21.07.1985";"146919"
"Ricketts, Donovan";"37";"07.06.1977";"147957"
"Jack, Kelvin";"38";"29.04.1976";"147966"
"Jones, Kenwyne";"29";"05.10.1984";"147978"
"Remy, Ellis";"30";"13.02.1984";"148990"
"Davis, Claude";"35";"06.03.1979";"149297"
"Lillis, Josh";"27";"24.06.1987";"151366"
"Saunders, Sam";"30";"29.08.1983";"151467"
"Seaborne, Danny";"27";"05.03.1987";"151478"
"Coulson, Michael";"26";"04.04.1988";"151496"
"Cousins, Mark";"27";"09.01.1987";"151498"
"Morrison, Michael";"26";"03.03.1988";"151499"
"Raynes, Michael";"26";"15.10.1987";"151708"
"Heslop, Simon";"27";"01.05.1987";"151712"
"Peters, Jaime";"27";"04.05.1987";"151736"
"Ritchie, Matt";"24";"10.09.1989";"151741"
"Wordsworth, Anthony";"25";"03.01.1989";"152010"
"M'voto, Jean-Yves";"25";"06.09.1988";"152594"
"Lowton, Matt";"25";"09.06.1989";"152936"
"Naughton, Kyle";"25";"11.11.1988";"152937"
"Bostwick, Michael";"26";"17.05.1988";"152985"
"Lafferty, Danny";"25";"18.05.1989";"155134"
"Marin, Marko";"25";"13.03.1989";"156766"
"Kroos, Toni";"24";"04.01.1990";"156772"
"Gorman, Johnny";"21";"26.10.1992";"164219"
"Beasant, Sam";"26";"08.04.1988";"164231"
"Mohamed, Hussein";"20";"20.03.1994";"167524"
"Bannister, Daniel";"20";"19.11.1993";"167526"
"Farr, Zak";"21";"08.07.1993";"167527"
"Green, Dominic";"19";"23.12.1994";"167530"
"Champion, Frederick";"20";"18.01.1994";"167759"
"Angol, Lee";"19";"04.08.1994";"167760"
"Hancock, Danny";"21";"25.09.1992";"167863"
"Lal, Awais";"20";"27.06.1994";"167874"
"Reyes, Diego";"21";"19.09.1992";"168047"
"Trindade de Vilhena, Tonny";"19";"03.01.1995";"168335"
"Gillet, Jean-Fran?ois";"35";"31.05.1979";"201496"
"Phillips, Charley";"19";"15.12.1994";"209841"
"Cunnington, Matt";"19";"27.04.1995";"209842"
"Roberts, Owen";"19";"15.04.1995";"209843"
"Lindo, Duvaine";"20";"05.10.1993";"209844"
"Daley, Oluseyi";"19";"23.09.1994";"209846"
"Nightingale, William";"18";"02.08.1995";"209848"
"Craig, Charlie";"19";"28.10.1994";"209849"
"Jacquart, Chace";"18";"16.07.1995";"209852"
"Tarbie, Kieron";"19";"29.12.1994";"209854"
"Fayers, Charlie";"19";"06.02.1995";"209855"
"Beere, Tom";"19";"27.01.1995";"209856"
"Baffour, Sam";"19";"12.12.1994";"209857"
"Morgan, Andre";"20";"29.11.1993";"209858"
"Thompson, Andre";"20";"20.09.1993";"209859"
"Coulibaly, Aly";"18";"08.04.1996";"211508"
"Rawlins, Ryan";"18";"30.05.1996";"212557"
"Kisitu, Salvyn";"17";"02.08.1996";"212558"
"Jones, Matty";"18";"30.11.1995";"212559"
"Walsh, Liam";"17";"26.07.1996";"212560"
"Da Costa, Curtis";"18";"13.09.1995";"212561"
"Barnes, Josh";"16";"22.10.1997";"215469"
"Stabana, Kyron";"17";"19.05.1997";"215470"
"MacDonald, Calum";"17";"15.04.1997";"215471"
"Cover, Alex";"17";"27.05.1997";"215472"
"Bird, Jared";"16";"03.12.1997";"215473"
"Carvell, James";"17";"12.06.1997";"215474"
"Wassall, Ethan";"16";"23.08.1997";"215475"
"Mellors, Tom";"17";"05.05.1997";"215476"
"Babos, Alex";"17";"09.02.1997";"215477"
"Gordon, Kellan";"16";"11.08.1997";"215478"
"Dolan, Anthony";"17";"19.01.1997";"215480"
"Paton, Harrison";"16";"10.10.1997";"215481"
"Soutter, Jake";"17";"13.06.1997";"215482"
"Selman, Joe";"16";"16.10.1997";"215483"
"McNulty, Joe";"16";"15.05.1998";"215484"
"Spalding, Henry";"16";"17.08.1997";"215485"
"Difford, James";"16";"28.12.1997";"215486"
"Davies, Aron";"16";"05.09.1997";"215487"
"Moss, Harvey";"17";"06.07.1997";"215488"
"Andrews, Jake";"16";"14.10.1997";"215489"
"Chilekwa, Elija";"16";"04.03.1998";"215490"
"Harris, Charlie";"16";"01.02.1998";"215491"
"Harper, Ashley";"16";"16.07.1997";"215492"
"Kellow, George";"16";"19.11.1997";"215493"
